Ticket No,Priority,State,Category,Sub Category,Skill Team,Hosting,Create Date,Picked Date,Completed Date,Assignee,Customer Rating,Outcome,Escalated,Reached via
T100,Low,California,Cyber Consultation,Database Security,IT,On Prem Server,3/13/2021 21:53,3/13/2021 21:54,3/17/2021 18:36,Charlotte,Excellent (5),Advised for a risk assessment,,Ticket Portal
T101,High,California,Data Leak,Insider Threat,HR,Vendor Cloud,3/19/2021 4:21,3/19/2021 4:22,3/19/2021 4:23,Benny,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal
T102,High,Iowa,Cyber Security Breach,Malware Attack,HR,On Prem Server,3/19/2021 6:14,3/19/2021 6:16,3/25/2021 14:25,Benny,Excellent (5),Advised for a risk assessment,,Ticket Portal
T103,Medium,New Jersey,Cyber Consultation,Secure Development,IT,Vendor Cloud,3/20/2021 8:44,3/20/2021 8:45,3/20/2021 8:52,Martina,Excellent (5),Advised for a risk assessment,,Personal Call
T104,Low,Florida,Cyber Consultation,Segregation of Duties,Marketing,On Prem Cloud,3/21/2021 18:18,3/21/2021 18:31,6/9/2021 12:11,Robbin,Excellent (5),Resolved,,Ticket Portal
T105,Medium,Utah,Data Privacy,HIPAA,HR,Vendor Cloud,3/25/2021 18:56,3/25/2021 19:49,3/25/2021 19:49,Sebastian,Excellent (5),Advised for a risk assessment,,Personal Call
T106,High,California,Data Privacy,GDPR,IT,On Prem Cloud,3/25/2021 23:29,3/25/2021 23:37,6/3/2021 18:54,Martina,Excellent (5),Advised for a risk assessment,,Mail
T107,High,Michigan,Data Privacy,PCI-DSS,IT,On Prem Cloud,3/27/2021 15:20,3/27/2021 15:21,3/27/2021 15:40,Sean,Unsatisfactory (2),Resolved,No,Ticket Portal
T108,High,Michigan,Data Privacy,PCI-DSS,IT,On Prem Cloud,3/27/2021 15:20,3/27/2021 15:21,3/27/2021 15:40,Martina,Unsatisfactory (2),Resolved,No,Mail
T109,Low,Georgia,Data Leak,Insider Threat,Legal,Vendor Cloud,3/27/2021 16:21,3/27/2021 16:24,6/3/2021 19:36,Allan,Excellent (5),Resolved,,Ticket Portal
T11,Low,Louisiana,Data Leak,Insider Threat,IT,On Prem Cloud,1/7/2021 14:38,1/7/2021 14:41,9/3/2021 17:36,Kareema,Good (4),Advised for a risk assessment,,Ticket Portal
T110,Medium,California,Data Privacy,Privacy Assessment,Finance,On Prem Cloud,3/27/2021 17:44,3/27/2021 18:14,6/3/2021 19:26,Martina,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal
T111,Medium,Connecticut,Security Gap,Obsolete Software,Finance,On Prem Server,3/31/2021 9:37,3/31/2021 9:37,3/31/2021 9:40,Allan,Satisfactory (3),Resolved,,Ticket Portal
T112,Low,California,Cyber Consultation,New Application Launch,Finance,On Prem Server,3/31/2021 9:46,3/31/2021 9:47,3/31/2021 9:51,Allan,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal
T113,Medium,Wisconsin,Data Privacy,Privacy Assessment,IT,On Prem Server,3/31/2021 9:46,3/31/2021 9:47,6/3/2021 19:56,Allan,Satisfactory (3),Resolved,,Ticket Portal
T114,Low,California,Cyber Consultation,BCP/DR,Marketing,Vendor Cloud,3/31/2021 11:13,3/31/2021 11:13,3/31/2021 11:38,Allan,Satisfactory (3),Resolved,,Ticket Portal
T115,High,Florida,Cyber Security Breach,Malware Attack,IT,On Prem Cloud,3/31/2021 15:53,3/31/2021 15:56,6/4/2021 12:27,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T116,Low,Oregon,Data Privacy,PCI-DSS,Legal,On Prem Server,4/1/2021 0:35,4/1/2021 0:42,4/6/2021 16:58,Martina,Good (4),Resolved,,Personal Call
T117,High,New York,Data Privacy,GDPR,HR,On Prem Cloud,4/1/2021 0:38,4/1/2021 10:24,4/12/2021 17:05,Bob,Excellent (5),Resolved,,Ticket Portal
T118,High,California,Data Leak,Insider Threat,Legal,On Prem Server,4/1/2021 15:51,4/1/2021 15:54,4/7/2021 18:33,Cinderalla,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T119,Low,Virginia,Data Privacy,PCI-DSS,HR,On Prem Server,4/2/2021 2:55,4/3/2021 7:29,8/30/2021 19:26,Martina,Excellent (5),Recommended Threat Assessment,,Mail
T12,High,California,Cyber Consultation,Application Offboarding,IT,On Prem Cloud,1/7/2021 17:14,1/7/2021 18:23,1/18/2021 11:03,Allan,Good (4),Resolved,,Personal Call
T120,High,Pennsylvania,Data Privacy,Privacy Assessment,Legal,On Prem Cloud,4/5/2021 10:14,4/5/2021 10:18,4/7/2021 18:26,Aleena,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T121,High,Florida,Data Privacy,Privacy Assessment,Finance,Vendor Cloud,4/5/2021 14:51,4/5/2021 14:51,5/5/2021 10:31,Allan,Good (4),Advised for a risk assessment,,Ticket Portal
T122,High,California,Cyber Security Breach,Malware Attack,IT,On Prem Server,4/5/2021 15:29,4/5/2021 15:30,4/8/2021 16:49,Charlotte,Unsatisfactory (2),Resolved,No,Mail
T123,High,Rhode Island,Cyber Consultation,Secure Development,HR,On Prem Server,4/7/2021 5:50,4/7/2021 9:55,5/4/2021 16:23,Sean,Excellent (5),Advised for a risk assessment,,Mail
T124,Medium,New York,Cyber Consultation,New Application Launch,Manufacturing,On Prem Server,4/7/2021 13:55,4/7/2021 13:59,4/13/2021 16:50,Charles,Excellent (5),Recommended Threat Assessment,,Personal Call
T125,Medium,Virginia,Data Privacy,GDPR,IT,On Prem Cloud,4/7/2021 18:37,4/7/2021 18:37,4/8/2021 17:28,Aleena,Excellent (5),Advised for a risk assessment,,Personal Call
T126,High,Florida,Cyber Security Breach,Spyware,Finance,On Prem Server,4/7/2021 20:36,4/7/2021 20:37,5/17/2021 17:35,Aleena,Good (4),Recommended Threat Assessment,,Ticket Portal
T127,High,Texas,Cyber Consultation,BCP/DR,IT,On Prem Server,4/8/2021 11:15,4/8/2021 11:15,5/26/2021 11:15,Robbin,Excellent (5),Advised for a risk assessment,,Ticket Portal
T128,High,Virginia,Cyber Consultation,New Application Launch,Manufacturing,Vendor Cloud,4/8/2021 12:53,4/8/2021 12:54,4/8/2021 22:00,Aleena,Good (4),Resolved,,Ticket Portal
T129,Low,Ohio,Data Privacy,Privacy Assessment,Marketing,On Prem Server,4/8/2021 18:58,4/8/2021 19:08,4/12/2021 14:37,Cinderalla,Excellent (5),Advised for a risk assessment,,Personal Call
T13,Low,California,Data Leak,Insider Threat,HR,On Prem Cloud,1/7/2021 17:14,1/7/2021 18:23,1/18/2021 11:03,Allan,Excellent (5),Resolved,,Ticket Portal
T130,Medium,New York,Security Gap,Unauthorized software,Finance,On Prem Server,4/8/2021 19:26,4/8/2021 19:45,4/12/2021 9:28,Aleena,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal
T131,Low,Arizona,Data Privacy,HIPAA,Finance,On Prem Cloud,4/10/2021 1:56,4/10/2021 2:02,4/28/2021 4:14,Martina,Excellent (5),Recommended Threat Assessment,,Personal Call
T132,High,Georgia,Cyber Security Breach,Firewall,Finance,On Prem Cloud,4/12/2021 14:04,4/12/2021 14:06,4/13/2021 18:45,Aleena,Satisfactory (3),Resolved,,Ticket Portal
T133,Low,Arizona,Cyber Consultation,Application Offboarding,IT,Vendor Cloud,4/12/2021 16:39,4/12/2021 16:43,4/19/2021 17:00,Aleena,Satisfactory (3),Resolved,,Mail
T134,High,Texas,Cyber Security Breach,Spyware,Marketing,On Prem Server,4/12/2021 20:14,4/12/2021 20:14,5/6/2021 12:53,Robbin,Good (4),Advised for a risk assessment,,Ticket Portal
T135,High,California,Data Privacy,PCI-DSS,Finance,On Prem Server,4/12/2021 20:17,4/12/2021 20:18,4/16/2021 12:57,Robbin,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T136,High,New York,Cyber Security Breach,Trojan Attack,Finance,On Prem Cloud,4/13/2021 14:45,4/13/2021 14:48,4/15/2021 14:21,Sebastian,Unsatisfactory (2),Resolved,No,Mail
T137,Medium,New York,Cyber Consultation,Segregation of Duties,Finance,On Prem Cloud,4/13/2021 18:25,4/13/2021 18:49,4/19/2021 14:07,Kareema,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T138,Low,California,Data Leak,Phishing,Marketing,On Prem Server,4/13/2021 22:55,4/13/2021 23:29,5/5/2021 20:51,Sean,Excellent (5),Advised for a risk assessment,,Ticket Portal
T139,High,Massachusetts,Data Leak,Vishing,HR,On Prem Server,4/14/2021 21:46,4/14/2021 21:49,4/19/2021 18:13,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal
T14,High,Florida,Cyber Consultation,Encryption,IT,On Prem Server,1/7/2021 20:22,1/7/2021 20:23,1/11/2021 17:45,Veronica,Unsatisfactory (2),Resolved,No,Mail
T140,High,Ohio,Cyber Consultation,Access Management,Legal,On Prem Server,4/15/2021 18:16,4/15/2021 18:20,4/19/2021 9:53,Michael,Excellent (5),Advised for a risk assessment,,Personal Call
T141,Low,Texas,Data Leak,Insider Threat,Finance,Vendor Cloud,4/15/2021 18:50,4/15/2021 18:51,4/15/2021 18:53,Michael,Excellent (5),Resolved,,Ticket Portal
T142,High,New Mexico,Data Privacy,HIPAA,Finance,Vendor Cloud,4/15/2021 20:16,4/15/2021 20:18,4/20/2021 15:50,Cinderalla,Excellent (5),Resolved,,Ticket Portal
T143,Low,Texas,Data Privacy,GDPR,Legal,On Prem Server,4/16/2021 18:38,4/16/2021 18:40,4/27/2021 20:27,Aleena,Good (4),Resolved,,Ticket Portal
T144,High,New York,Data Leak,Vishing,Finance,On Prem Cloud,4/19/2021 11:21,4/19/2021 11:22,4/19/2021 19:32,Charlotte,Excellent (5),Advised for a risk assessment,,Ticket Portal
T145,Medium,Nevada,Security Gap,Password non-expiry,IT,On Prem Server,4/19/2021 14:05,4/19/2021 14:06,4/27/2021 11:05,Kareema,Excellent (5),Resolved,,Ticket Portal
T146,Low,California,Data Privacy,GDPR,Manufacturing,Vendor Cloud,4/19/2021 15:49,4/19/2021 15:51,4/19/2021 15:51,Charles,Excellent (5),Advised for a risk assessment,,Ticket Portal
T147,Medium,Illinois,Data Privacy,Privacy Assessment,IT,On Prem Server,4/19/2021 16:50,4/19/2021 16:51,4/20/2021 11:04,Michael,Good (4),Resolved,,Personal Call
T148,Low,California,Cyber Consultation,New Application Launch,IT,On Prem Cloud,4/20/2021 7:11,4/20/2021 7:15,6/30/2021 9:29,Michael,Excellent (5),Resolved,,Ticket Portal
T149,High,Pennsylvania,Cyber Security Breach,Malware Attack,HR,On Prem Cloud,4/20/2021 14:36,4/20/2021 14:37,4/20/2021 15:15,Michael,Good (4),Resolved,,Ticket Portal
T15,Low,Georgia,Data Privacy,PCI-DSS,Legal,Vendor Cloud,1/10/2021 17:10,1/10/2021 17:15,1/20/2021 10:34,Bob,Satisfactory (3),Advised for a risk assessment,,Personal Call
T150,Low,California,Security Gap,Unauthorized access,IT,Vendor Cloud,4/20/2021 15:37,4/20/2021 15:45,4/23/2021 18:44,Cinderalla,Good (4),Resolved,,Ticket Portal
T151,High,Utah,Data Privacy,GDPR,Marketing,On Prem Server,4/20/2021 17:31,4/20/2021 17:37,4/20/2021 20:30,Martina,Satisfactory (3),Recommended Threat Assessment,,Mail
T152,Low,North Carolina,Data Privacy,HIPAA,Marketing,On Prem Server,4/20/2021 17:55,4/20/2021 17:57,4/27/2021 19:50,Sebastian,Unsatisfactory (2),Recommended Threat Assessment,No,Mail
T153,Low,Arizona,Data Privacy,HIPAA,HR,On Prem Server,4/20/2021 18:45,4/20/2021 18:45,4/20/2021 18:47,Sean,Excellent (5),Resolved,,Mail
T154,High,Texas,Cyber Consultation,New Application Launch,Finance,On Prem Cloud,4/20/2021 19:59,4/20/2021 19:59,4/21/2021 12:56,Sean,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal
T155,High,Florida,Cyber Security Breach,Firewall,HR,On Prem Server,4/20/2021 23:49,4/21/2021 11:23,4/21/2021 11:23,Sean,Satisfactory (3),Resolved,,Personal Call
T156,High,Minnesota,Cyber Consultation,Third Party Engagement,IT,On Prem Server,4/21/2021 10:56,4/21/2021 10:59,4/21/2021 11:00,Sean,Good (4),Resolved,,Ticket Portal
T157,Medium,North Carolina,Data Privacy,PCI-DSS,IT,Vendor Cloud,4/21/2021 11:45,4/21/2021 11:45,4/22/2021 14:50,Kareema,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T158,Medium,California,Cyber Consultation,Segregation of Duties,Manufacturing,On Prem Server,4/21/2021 11:58,4/21/2021 11:59,4/22/2021 14:49,Kareema,Good (4),Resolved,,Mail
T159,Medium,Florida,Cyber Consultation,Application Offboarding,IT,On Prem Server,4/21/2021 22:38,4/21/2021 23:30,4/26/2021 19:35,Martina,Good (4),Advised for a risk assessment,,Ticket Portal
T16,Medium,California,Data Leak,Vishing,Marketing,On Prem Server,1/10/2021 17:10,1/10/2021 17:15,1/20/2021 10:34,Bob,Excellent (5),Advised for a risk assessment,,Mail
T160,High,California,Cyber Security Breach,Firewall,Marketing,Vendor Cloud,4/22/2021 2:13,4/22/2021 9:47,5/3/2021 9:49,Sean,Excellent (5),Resolved,,Ticket Portal
T161,High,California,Cyber Consultation,Segregation of Duties,IT,On Prem Server,4/22/2021 10:17,4/22/2021 10:18,4/22/2021 12:40,Allan,Excellent (5),Resolved,,Mail
T162,Low,California,Cyber Consultation,Application Offboarding,Finance,On Prem Server,4/22/2021 11:08,4/22/2021 11:11,4/22/2021 12:35,Allan,Good (4),Recommended Threat Assessment,,Mail
T163,Low,Virginia,Security Gap,Unauthorized access,HR,On Prem Server,4/22/2021 11:18,4/22/2021 11:18,4/22/2021 12:33,Allan,Good (4),Advised for a risk assessment,,Personal Call
T164,Medium,Arizona,Cyber Consultation,Application Offboarding,HR,Vendor Cloud,4/22/2021 14:54,4/22/2021 14:54,4/27/2021 11:00,Kareema,Unsatisfactory (2),Recommended Threat Assessment,No,Personal Call
T165,Low,New York,Cyber Consultation,Encryption,HR,On Prem Server,4/22/2021 15:21,4/22/2021 15:22,4/22/2021 18:59,Kareema,Unsatisfactory (2),Advised for a risk assessment,No,Ticket Portal
T166,Medium,New York,Cyber Consultation,New Application Launch,HR,On Prem Server,4/23/2021 13:18,4/23/2021 13:22,4/26/2021 14:13,Sean,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T167,Low,Oregon,Data Privacy,GDPR,Finance,On Prem Cloud,4/23/2021 16:42,4/23/2021 16:44,4/23/2021 17:07,Bob,Good (4),Resolved,,Ticket Portal
T168,High,Illinois,Security Gap,Obsolete Software,IT,Vendor Cloud,4/25/2021 16:48,4/25/2021 16:48,4/25/2021 16:48,Bob,Excellent (5),Resolved,,Ticket Portal
T169,High,Minnesota,Cyber Security Breach,Malware Attack,HR,On Prem Server,4/25/2021 16:50,4/26/2021 6:57,5/18/2021 17:58,Robbin,Excellent (5),Advised for a risk assessment,,Personal Call
T17,Low,New York,Data Leak,Phishing,Manufacturing,Vendor Cloud,1/10/2021 17:24,1/10/2021 17:26,1/21/2021 20:07,Aleena,Unsatisfactory (2),Resolved,No,Ticket Portal
T170,Low,Florida,Data Privacy,HIPAA,Legal,On Prem Cloud,4/26/2021 14:26,4/26/2021 14:30,4/28/2021 13:05,Veronica,Satisfactory (3),Resolved,,Ticket Portal
T171,High,Florida,Cyber Security Breach,Trojan Attack,Marketing,On Prem Server,4/26/2021 21:59,4/27/2021 11:01,6/24/2021 15:37,Bob,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T172,Low,Arizona,Data Privacy,HIPAA,Legal,Vendor Cloud,4/27/2021 19:03,4/27/2021 19:07,5/18/2021 16:00,Charlotte,Excellent (5),Advised for a risk assessment,,Mail
T173,Medium,Missouri,Cyber Consultation,Third Party Engagement,HR,Vendor Cloud,4/27/2021 19:03,4/27/2021 19:07,5/18/2021 16:00,Charlotte,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T174,High,Louisiana,Cyber Security Breach,Malware Attack,IT,On Prem Server,4/27/2021 19:20,4/27/2021 19:31,4/29/2021 21:00,Sylviya,Excellent (5),Resolved,,Ticket Portal
T175,High,Tennessee,Data Privacy,PCI-DSS,HR,On Prem Server,4/27/2021 19:20,4/27/2021 19:31,4/29/2021 21:00,Sylviya,Excellent (5),Advised for a risk assessment,,Mail
T176,Low,Virginia,Data Privacy,Privacy Assessment,HR,Vendor Cloud,4/28/2021 21:21,4/28/2021 21:24,4/30/2021 18:00,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T177,High,Kansas,Security Gap,Password non-expiry,HR,Vendor Cloud,4/28/2021 21:21,4/28/2021 21:24,4/30/2021 18:00,Martina,Good (4),Advised for a risk assessment,,Personal Call
T178,Medium,Virginia,Cyber Consultation,Encryption,Finance,On Prem Server,4/28/2021 21:49,4/28/2021 22:09,5/14/2021 0:11,Sean,Satisfactory (3),Advised for a risk assessment,,Mail
T179,Low,Arizona,Data Privacy,HIPAA,IT,On Prem Server,4/28/2021 21:49,4/28/2021 22:09,5/14/2021 0:11,Sean,Excellent (5),Advised for a risk assessment,,Mail
T18,High,California,Cyber Security Breach,Firewall,IT,On Prem Server,1/10/2021 17:24,1/10/2021 17:26,1/21/2021 20:07,Aleena,Satisfactory (3),Advised for a risk assessment,,Mail
T180,Low,Pennsylvania,Cyber Consultation,New Application Launch,HR,On Prem Server,4/28/2021 22:11,4/28/2021 22:11,4/28/2021 22:11,Sean,Satisfactory (3),Resolved,,Personal Call
T181,Low,Colorado,Security Gap,Password non-expiry,HR,Vendor Cloud,4/28/2021 22:11,4/28/2021 22:11,4/28/2021 22:11,Sean,Good (4),Advised for a risk assessment,,Ticket Portal
T182,Low,Illinois,Data Privacy,HIPAA,Finance,On Prem Server,4/28/2021 22:17,4/28/2021 22:19,5/4/2021 16:20,Sean,Unsatisfactory (2),Resolved,Yes,Personal Call
T183,High,Illinois,Cyber Security Breach,Firewall,Finance,On Prem Server,4/28/2021 22:17,4/28/2021 22:19,5/4/2021 16:20,Sean,Good (4),Resolved,,Ticket Portal
T184,Low,Texas,Data Privacy,HIPAA,Finance,Vendor Cloud,4/29/2021 1:56,4/29/2021 7:47,7/16/2021 12:57,Robbin,Good (4),Advised for a risk assessment,,Mail
T185,High,Oregon,Cyber Consultation,Application Offboarding,Manufacturing,On Prem Server,4/29/2021 1:56,4/29/2021 7:47,7/16/2021 12:57,Robbin,Satisfactory (3),Recommended Threat Assessment,,Mail
T186,Low,New York,Data Leak,Phishing,IT,Vendor Cloud,4/29/2021 14:28,4/29/2021 14:29,9/27/2021 18:58,Robbin,Unsatisfactory (2),Resolved,Yes,Mail
T187,High,Indiana,Data Privacy,GDPR,Manufacturing,On Prem Cloud,4/29/2021 15:28,4/29/2021 15:28,4/29/2021 15:28,Bob,Excellent (5),Advised for a risk assessment,,Mail
T188,High,Texas,Data Privacy,HIPAA,HR,Vendor Cloud,4/29/2021 17:25,4/29/2021 17:25,4/29/2021 20:05,Bob,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T189,Low,Virginia,Data Leak,Insider Threat,IT,Vendor Cloud,4/29/2021 17:29,4/29/2021 17:30,4/29/2021 17:30,Bob,Good (4),Resolved,,Ticket Portal
T19,High,Virginia,Cyber Security Breach,Spyware,Finance,On Prem Server,1/11/2021 12:15,1/11/2021 12:16,1/13/2021 22:08,Charlotte,Excellent (5),Advised for a risk assessment,,Personal Call
T190,Medium,Ohio,Data Privacy,HIPAA,HR,On Prem Server,4/29/2021 17:30,4/29/2021 17:47,4/29/2021 20:05,Bob,Excellent (5),Resolved,,Ticket Portal
T191,High,Ohio,Data Privacy,Privacy Assessment,Finance,Vendor Cloud,4/30/2021 10:31,4/30/2021 11:49,4/30/2021 18:57,Bob,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T192,Medium,Delaware,Data Privacy,Privacy Assessment,Marketing,On Prem Cloud,4/30/2021 16:10,4/30/2021 16:11,5/13/2021 17:18,Bob,Excellent (5),Resolved,,Ticket Portal
T193,Low,Tennessee,Cyber Consultation,New Application Launch,HR,On Prem Cloud,4/30/2021 17:12,4/30/2021 17:19,5/4/2021 16:04,Charles,Good (4),Advised for a risk assessment,,Ticket Portal
T194,High,California,Data Privacy,GDPR,IT,Vendor Cloud,5/3/2021 12:46,5/3/2021 12:48,6/3/2021 16:35,Bob,Excellent (5),Advised for a risk assessment,,Ticket Portal
T195,High,California,Data Privacy,GDPR,IT,On Prem Server,5/3/2021 22:09,5/3/2021 22:12,5/10/2021 18:32,Martina,Good (4),Resolved,,Ticket Portal
T196,Low,Minnesota,Cyber Consultation,BCP/DR,IT,On Prem Server,5/4/2021 9:52,5/4/2021 10:12,5/17/2021 9:44,Bob,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T197,High,Maryland,Cyber Security Breach,Firewall,HR,Vendor Cloud,5/4/2021 10:11,5/4/2021 10:11,5/4/2021 11:43,Allan,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T198,High,Arizona,Cyber Security Breach,Malware Attack,Finance,On Prem Cloud,5/4/2021 10:26,5/4/2021 10:27,5/4/2021 11:47,Allan,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T199,Low,New York,Security Gap,Password non-expiry,IT,On Prem Server,5/4/2021 10:55,5/4/2021 10:55,5/18/2021 11:06,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal
T20,Low,California,Data Privacy,HIPAA,Finance,On Prem Server,1/11/2021 17:17,1/11/2021 17:18,1/13/2021 11:46,Kareema,Excellent (5),Resolved,,Ticket Portal
T200,High,California,Cyber Security Breach,Malware Attack,Legal,On Prem Cloud,5/4/2021 21:58,5/4/2021 22:13,5/11/2021 12:20,Charlotte,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T201,Low,California,Cyber Consultation,New Application Launch,Finance,Vendor Cloud,5/5/2021 0:00,5/5/2021 9:24,5/7/2021 21:30,Sebastian,Satisfactory (3),Resolved,,Mail
T202,High,Texas,Cyber Consultation,Application Offboarding,Marketing,On Prem Server,5/5/2021 21:27,5/5/2021 21:45,5/7/2021 20:14,Charlotte,Good (4),Advised for a risk assessment,,Ticket Portal
T203,High,Utah,Data Leak,Insider Threat,IT,On Prem Server,5/5/2021 21:33,4/28/2021 22:11,5/10/2021 18:30,Martina,Good (4),Recommended Threat Assessment,,Ticket Portal
T204,High,New Jersey,Data Privacy,HIPAA,Legal,Vendor Cloud,5/6/2021 19:36,7/8/2021 1:39,5/11/2021 10:17,Bob,Unsatisfactory (2),Advised for a risk assessment,Yes,Mail
T205,Low,California,Cyber Consultation,Segregation of Duties,Manufacturing,Vendor Cloud,5/6/2021 19:47,5/6/2021 20:09,5/10/2021 11:04,Sylviya,Good (4),Advised for a risk assessment,,Ticket Portal
T206,High,Utah,Data Privacy,HIPAA,Legal,On Prem Cloud,5/6/2021 23:44,5/6/2021 23:57,5/10/2021 17:53,Martina,Good (4),Recommended Threat Assessment,,Mail
T207,High,Missouri,Data Privacy,GDPR,Manufacturing,On Prem Server,5/6/2021 23:44,5/6/2021 23:57,5/10/2021 17:53,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T208,Low,Louisiana,Data Leak,Insider Threat,IT,On Prem Cloud,5/7/2021 14:38,5/7/2021 14:41,9/3/2021 17:36,Kareema,Good (4),Advised for a risk assessment,,Ticket Portal
T209,Medium,California,Security Gap,Obsolete Software,Marketing,Vendor Cloud,5/7/2021 14:38,5/7/2021 14:41,9/3/2021 17:36,Kareema,Satisfactory (3),Resolved,,Ticket Portal
T21,High,New York,Data Leak,Insider Threat,HR,On Prem Cloud,1/11/2021 17:17,1/11/2021 17:18,1/13/2021 11:46,Kareema,Unsatisfactory (2),Resolved,No,Ticket Portal
T210,High,California,Cyber Consultation,Application Offboarding,IT,On Prem Cloud,5/7/2021 17:14,5/7/2021 18:23,5/18/2021 11:03,Allan,Good (4),Resolved,,Ticket Portal
T211,Low,California,Data Leak,Insider Threat,HR,On Prem Cloud,5/7/2021 17:14,5/7/2021 18:23,5/18/2021 11:03,Allan,Excellent (5),Resolved,,Ticket Portal
T212,High,Florida,Cyber Consultation,Encryption,IT,On Prem Server,5/7/2021 20:22,5/7/2021 20:23,5/11/2021 17:45,Veronica,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T213,High,Michigan,Data Leak,Insider Threat,IT,Vendor Cloud,5/7/2021 20:22,5/7/2021 20:23,5/11/2021 17:45,Veronica,Good (4),Resolved,,Mail
T214,Low,Georgia,Data Privacy,PCI-DSS,Legal,Vendor Cloud,5/10/2021 17:10,5/10/2021 17:15,5/20/2021 10:34,Bob,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T215,Medium,California,Data Leak,Vishing,Marketing,On Prem Server,5/10/2021 17:10,5/10/2021 17:15,5/20/2021 10:34,Bob,Excellent (5),Advised for a risk assessment,,Personal Call
T216,Low,New York,Data Leak,Phishing,Manufacturing,Vendor Cloud,5/10/2021 17:24,5/10/2021 17:26,5/21/2021 20:07,Aleena,Unsatisfactory (2),Resolved,,Ticket Portal
T217,High,California,Cyber Security Breach,Firewall,IT,On Prem Server,5/10/2021 17:24,5/10/2021 17:26,5/21/2021 20:07,Aleena,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T218,High,Virginia,Cyber Security Breach,Spyware,Finance,On Prem Server,5/11/2021 12:15,5/11/2021 12:16,5/13/2021 22:08,Charlotte,Excellent (5),Advised for a risk assessment,,Ticket Portal
